polling_firm,polling_firm,fieldwork_date,sample_size,margin_of_error,lee_pct,yoon_pct,others_pct,lead_pct,fieldwork_end_date
PNR,New Daily,31 Dec – 1 Jan,1002.0,±3.1%p,40.5,40.9,8.3,0.4%,2022-01-01
Opinion Research Justice,Dailian,31 Dec – 1 Jan,1000.0,±3.1%p,39.9,36.8,12.3,1.6%,2022-01-01
KSOI,TBS,31 Dec – 1 Jan,1000.0,±3.1%p,41.0,37.1,9.4,3.9%,2022-01-01
R&R,Choson,1 Jan,1013.0,±3.1%p,35.5,30.9,14.4,4.6%,2022-01-01
R&R,The Dong-a Ilbo,30 Dec – 1 Jan,1012.0,±3.1%p,39.9,30.2,16.4,9.7%,2022-01-01
Ace Research,Mudeung Daily,31 Dec – 1 Jan,1000.0,±3.1%p,44.1,35.6,8.3,8.5%,2022-01-01
Global Research,JTBC,1–2 Jan,1012.0,±3.1%p,37.0,28.1,22.6,8.9%,2022-01-02
KIR,Cheonji Daily,2 Jan,1003.0,±3.1%p,37.7,37.1,10.5,0.6%,2022-01-02
Korea Research,KBS,3–4 Jan,1000.0,±3.1%p,39.1,26.0,21.6,13.1%,2022-01-04
Media Research,OBS,4–5 Jan,1001.0,±3.1%p,40.3,37.0,7.1,3.3%,2022-01-05
R&S Research,MBN,4–5 Jan,1003.0,±3.1%p,38.5,34.2,11.8,4.3%,2022-01-05
GGilbo,NBS,5 Jan,1000.0,±3.1%p,36.0,28.0,22.0,8.0%,2022-01-05
Gallup Korea,Money Today,5 Jan,1001.0,±3.1%p,37.6,29.2,16.5,8.4%,2022-01-05
[citation needed],UPI news,4–6 Jan,1000.0,±3.1%p,41.0,38.0,6.0,3%,2022-01-06
Global Research,JTBC,5–6 Jan,1006.0,±3.1%p,38.0,25.1,21.9,12.9%,2022-01-06
Gallup Korea,Gallup Korea,6 Jan,1002.0,±3.1%p,36.0,26.0,18.0,10.0%,2022-01-06
RealMeter,Oh My News,2–7 Jan,3042.0,±1.8%p,40.1,34.1,11.9,6.0%,2022-01-07
Southern Post,CBS,7–8 Jan,1002.0,±3.1%p,34.1,26.4,23.6,7.7%,2022-01-08
PNR,New Daily,7–8 Jan,1001.0,±3.1%p,38.5,37.7,7.5,0.8%,2022-01-08
KRI,MBC,7–8 Jan,1003.0,±3.1%p,37.1,30.5,14.8,6.6%,2022-01-08
KSOI,TBS,7–8 Jan,1000.0,±3.1%p,37.6,35.2,9.4,2.4%,2022-01-08
Gallup Korea,Gallup Korea,11–13 Jan,1001.0,±3.1%p,37.0,31.0,12.0,6%,2022-01-13
RealMeter,Oh My News,9–14 Jan,3031.0,±1.8%p,36.7,40.6,7.8,3.9%,2022-01-14
PNR,New Daily,14–15 Jan,1000.0,±3.1%p,33.8,44.8,6.7,11.0%,2022-01-15
