fieldwork_date,sample_size,margin_of_error,polling_firm,lee_pct,kim_pct,Lee Jun-seok,Kwon Yeong-guk,Song Jin-ho,Hwang Kyo-ahn,Koo Joo-wa,Others,Und./ no ans.,lead_pct
3 June 2025,35236497.0,2025 South Korean presidential election,2025 South Korean presidential election,49.42,41.15,8.34,0.98,0.10,—N/a,—N/a,0.73,0.73,8.27
3 June 2025,80146.0,±0.8,KBS/MBC/SBS[2] (Exit Poll),51.7,39.3,7.7,1.3,0.1,—N/a,—N/a,—N/a,—N/a,12.4
3 June 2025,1536.0,±2.5,KOPRA / Asia Today[3],47.3,42.7,5.7,2.4,0.7,—N/a,—N/a,—N/a,1.2,4.6
30 May–3 Jun 2025,12077.0,±0.9,Metavoice / JTBC[4],44.0,37.0,7,1,0,0,—N/a,—N/a,11,7
31 May–2 Jun 2025,3004.0,±1.8,Flower Research[5],49.6,33.8,6.6,1.1,0.1,0.3,—N/a,—N/a,9.5,15.8
27 May 2025,1012.0,±3.1,Jowon C&I / Straight News[6],50.0,37.3,9.4,—N/a,—N/a,—N/a,—N/a,1.5,1.7,12.7
27 May 2025,1544.0,±2.5,Hangil Research / Polinews[7],45.8,40.7,8.6,1.0,—N/a,—N/a,—N/a,0.8,3.2,5.1
27 May 2025,1000.0,±3.1,KOPRA / Asia Today[8],46.0,41.0,9,1,0,0,—N/a,—N/a,2,5
26–27 May 2025,1039.0,±3.0,Media Tomato / News Tomato[9],48.6,38.5,10.1,1.2,—N/a,—N/a,—N/a,0.4,1.2,10.1
26–27 May 2025,1005.0,±3.1,Metavoice / JTBC[10],48.0,35.0,12,0,0,0,—N/a,—N/a,4,13
26–27 May 2025,1000.0,±3.1,Researchview / KPI News[11],46.8,40.5,9.8,0.9,—N/a,0.5,—N/a,0.1,1.5,6.3
26–27 May 2025,1000.0,±3.1,Korea Research / MBC[12],43.0,36.0,11,0,0,0,—N/a,—N/a,9,7
26–27 May 2025,5028.0,±1.4,Metavoice / OhmyNews[13],47.1,39.1,9.8,0.9,0.4,0.5,—N/a,—N/a,2.2,8.0
26–27 May 2025,1003.0,±3.1,Gallup Korea / SEDaily[14],46.0,37.0,11,0,—N/a,0,—N/a,—N/a,5,9
26–27 May 2025,2011.0,±2.2,Flower Research[15],50.3,32.7,9.4,0.9,—N/a,0.4,—N/a,—N/a,6.5,17.6
26–27 May 2025,1003.0,±3.1,Realmeter / EKN[16],49.2,36.8,10.3,0.7,0.2,0.4,—N/a,—N/a,2.4,12.4
26–27 May 2025,1014.0,±3.1,Ace Research / Newsis[17],48.9,39.6,9.9,0.5,—N/a,—N/a,—N/a,0.5,1.2,9.3
26–27 May 2025,1005.0,±3.1,KSOI / CBS[18],49.3,36.6,9.4,1.9,0.1,0.3,—N/a,—N/a,2.3,12.7
26–27 May 2025,1000.0,±3.1,Gongjung / Dailian[19],43.6,42.7,8.8,1.8,0,0,—N/a,0.7,2.4,1.1
25–27 May 2025,1003.0,±3.1,Ipsos / SBS[20],48.0,34.0,10,1,0,0,—N/a,—N/a,8,14
25–27 May 2025,6001.0,±1.3,Research Min / Newdaily[21],46.9,41.8,7.9,1.4,—N/a,—N/a,—N/a,0.5,1.4,5.1
25–27 May 2025,1000.0,±3.1,Hankook Researach / KBS[22],45.0,36.0,10,1,0,0,—N/a,—N/a,8,9
24–27 May 2025,15008.0,±0.8,Flower Research[23],48.8,37.7,10.7,—N/a,—N/a,—N/a,—N/a,1.0,1.8,11.1
25–26 May 2025,1000.0,±3.1,Media Research / Newspim[24],47.3,41.1,8.0,—N/a,—N/a,—N/a,—N/a,1.7,1.9,6.2
24–25 May 2025,1008.0,±3.1,Research&Research / Dong-A Ilbo[25],45.9,34.4,11.3,—N/a,—N/a,—N/a,—N/a,1.2,7.2,11.5
24–25 May 2025,2004.0,±2.2,Jowon C&I / Straight News[26],47.7,38.9,10.2,—N/a,—N/a,—N/a,—N/a,1.3,2.0,8.8
24–25 May 2025,3028.0,±1.8,Ace Research / LPK[27],46.5,40.4,10.3,—N/a,—N/a,—N/a,—N/a,0.8,2.0,6.1
24–25 May 2025,1010.0,±3.1,Jowon C&I / Hanyang Economy[28],47.2,39.0,10.6,—N/a,—N/a,—N/a,—N/a,1.9,1.4,8.2
24–25 May 2025,1011.0,±3.1,Gongjung / PennMike[29],47.2,40.8,9.0,1.1,—N/a,—N/a,—N/a,0.2,1.7,6.4
24–25 May 2025,2008.0,±2.2,Research Min / Newdaily[30],48.4,39.6,8.4,1.5,—N/a,—N/a,—N/a,0.6,1.5,8.8
23–25 May 2025,1003.0,±3.1,Next Research / MBN[31],44.9,35.9,9.6,0.5,0.1,0.4,—N/a,—N/a,8.7,9.0
24 May 2025,1001.0,±3.1,KOPRA / Asia Today[32],46.0,40.0,11,1,0,0,—N/a,—N/a,1,6
23–24 May 2025,2004.0,±2.2,Flower Research[33],48.9,30.8,9.6,0.7,0.1,0.3,—N/a,—N/a,9.5,18.1
23–24 May 2025,1001.0,±3.1,KSOI / CBS[34],47.3,39.6,9.6,1.5,0.0,0.3,—N/a,—N/a,1.6,7.7
23–24 May 2025,1016.0,±3.1,KIR / Cheonjiilbo[35],46.9,40.7,7.9,0.8,0.4,0.8,—N/a,—N/a,2.5,6.2
22–23 May 2025,1009.0,±3.1,Realmeter / EKN[36],46.6,37.6,10.4,1.6,0.3,0.9,—N/a,—N/a,2.5,9.0
22–23 May 2025,1000.0,±3.1,Hangil Research / Polinews[37],46.0,41.3,7.8,0.7,—N/a,—N/a,—N/a,1.3,2.9,4.7
21–22 May 2025,1007.0,±3.1,Gongjung / PennMike[38],45.5,41.1,9.2,—N/a,—N/a,—N/a,—N/a,1.8,2.4,4.4
21–22 May 2025,2005.0,±2.2,Flower Research[39],49.6,30.6,9.2,0.5,0.1,0.4,—N/a,—N/a,9.6,19.0
21–22 May 2025,1002.0,±3.1,KIR / Cheonjiilbo[40],47.3,39.3,8.0,1.9,0.1,0.6,—N/a,—N/a,2.8,8.0
20–22 May 2025,3000.0,±1.8,Hankook Researach / KBS[41],49.0,34.0,8,1,0,1,—N/a,—N/a,7,15
20–22 May 2025,1002.0,±3.1,Gallup Korea[42],45.0,36.0,10,—N/a,—N/a,—N/a,—N/a,0.5,8,9
21 May 2025,1009.0,±3.1,WinG Korea / Voice of Seoul[43],49.2,39.8,7.7,—N/a,—N/a,—N/a,—N/a,0.9,2.4,9.4
20–21 May 2025,1007.0,±3.1,Gallup Korea / KARN[44],46.0,34.0,11,1,—N/a,—N/a,—N/a,—N/a,8,12
20–21 May 2025,1002.0,±3.1,EveryResearch / Newsspirit[45],45.2,40.9,9.9,—N/a,—N/a,—N/a,—N/a,1.4,2.5,4.3
20–21 May 2025,1012.0,±3.1,Realmeter / EKN[46],48.1,38.6,9.4,0.6,0.5,0.6,—N/a,1.3,0.8,9.5
19–21 May 2025,1002.0,±3.1,NBS[47][a],46.0,32.0,10,1,—N/a,—N/a,—N/a,—N/a,10,14
19–20 May 2025,1014.0,±3.1,Research&Research / Channel A[48],45.6,34.4,9.0,—N/a,—N/a,—N/a,—N/a,1.3,9.8,11.2
19–20 May 2025,1000.0,±3.1,Media Research / Newspim[49],49.9,36.6,8.7,—N/a,—N/a,—N/a,—N/a,2.2,2.7,13.3
19–20 May 2025,1002.0,±3.1,KIR / Cheonjiilbo[50],48.3,37.6,8.9,1.2,0.1,0.6,—N/a,—N/a,3.3,10.7
17–20 May 2025,15009.0,±0.8,Flower Research[51],52.3,35.1,9.0,—N/a,—N/a,—N/a,—N/a,1.0,2.7,17.2
19 May 2025,1000.0,±3.1,Every Research[52],46.0,41.6,8.5,1.1,0.5,0.7,—N/a,—N/a,1.5,4.4
18–19 May 2025,1004.0,±3.1,Ace Research / Newsis[53],50.6,39.2,6.3,—N/a,—N/a,—N/a,—N/a,1.1,2.7,11.4
18–19 May 2025,1001.0,±3.1,Embrain Public / YTN[54],50.0,36.0,6,—N/a,—N/a,—N/a,—N/a,1,7,14
17–19 May 2025,2002.0,±2.2,Jowon C&I / Straight News[55],47.9,38.5,7.7,—N/a,—N/a,—N/a,—N/a,1.9,3.4,9.4
17–19 May 2025,1017.0,±3.1,Hangil Research / Polinews[56],48.9,39.1,6.9,1.3,—N/a,—N/a,—N/a,0.9,2.8,9.8
16-18 May 2025,1007.0,±3.1,Next Research / MBN[57],47.7,33.3,6.8,—N/a,—N/a,0.1,0.2,—N/a,11.9,14.4
17 May 2025,1005.0,±3.1,KOPRA / Asia Today[58],48.0,40.0,9,1,0,1,0,—N/a,2,8
16–17 May 2025,1002.0,±3.1,Ipsos / Korea Economic Daily[59],51.0,32.0,7,0,—N/a,0,0,—N/a,10,19
16–17 May 2025,2007.0,±2.2,Flower Research[60],52.1,29.5,7.0,0.3,0.1,0.6,0.2,—N/a,10.2,22.6
16–17 May 2025,2005.0,±2.2,Research Min / Newdaily[61],49.2,38.6,7.6,—N/a,—N/a,—N/a,—N/a,1.3,3.3,10.6
16–17 May 2025,1007.0,±3.1,KSOI / CBS[62],49.2,36.4,9.4,0.4,0.2,1.2,0.4,—N/a,3.0,12.8
15–16 May 2025,1005.0,±3.1,KIR / Cheonjiilbo[63],50.6,38.6,5.7,0.3,0.1,0.8,0.5,—N/a,3.4,12.0
14–16 May 2025,1509.0,±2.5,Realmeter / EKN[64],50.2,35.6,8.7,—N/a,—N/a,—N/a,—N/a,1.1,4.4,14.6
14–15 May 2025,1001.0,±3.1,Gongjung / PennMike[65],46.5,39.5,7.3,—N/a,—N/a,—N/a,—N/a,2.7,4.0,7.0
14–15 May 2025,1003.0,±3.1,Korea Research / MBC[66],47.0,30.0,7,0,0,1,—N/a,—N/a,15,17
14–15 May 2025,2012.0,±2.2,Flower Research[67],51.4,28.9,7.6,0.3,—N/a,0.7,0.1,—N/a,11.1,22.5
13–15 May 2025,1000.0,±3.1,Hankook Research / KBS[68],46.0,31.0,8,1,0,1,0,—N/a,12,15
13–15 May 2025,1004.0,±3.1,Gallup Korea[69],51.0,29.0,8,—N/a,—N/a,—N/a,—N/a,1,12,22
14 May 2025,1000.0,±3.1,WinG Korea / Voice of Seoul[70],48.8,37.6,7.3,—N/a,—N/a,—N/a,—N/a,2.4,4.0,11.2
13–14 May 2025,1005.0,±3.1,Realmeter / Media Tribune[71],51.9,33.1,6.6,0.6,0.4,1.7,0.8,—N/a,4.9,18.8
13–14 May 2025,1002.0,±3.1,Hangil Research / Polinews[72],47.4,39.2,7.1,0.8,—N/a,—N/a,—N/a,1.3,4.1,8.2
12–14 May 2025,1000.0,±3.1,NBS[73][a],49.0,27.0,7,—N/a,—N/a,—N/a,—N/a,—N/a,16,22
13 May 2025,1004.0,±3.1,KOPRA / Asia Today[74],47.0,39.0,8,1,—N/a,1,—N/a,—N/a,4,8
12–13 May 2025,3000.0,±1.8,Hankook Researach / Hankook Ilbo[75],40.0,21.0,6,—N/a,—N/a,—N/a,—N/a,1,32,19
12–13 May 2025,1009.0,±3.1,Metavoice / OhmyNews[76],47.5,36.1,8.7,0.4,1.1,1.6,0.6,0.3,3.8,11.4
