eval_date,city,model,bracket,forecast_f,observed_f,lower_f,upper_f,predicted_prob,outcome,brier,log_loss,n_train,dist_family,dist_mu,dist_sigma
2026-01-01,nyc,gfs,pm_1F,33.8,36.0,32.8,34.8,0.280589,0,0.07873,0.329322,265,student_t,0.311,1.147
2026-01-01,nyc,gfs,pm_2F,33.8,36.0,31.799999999999997,35.8,0.512517,0,0.262674,0.718501,265,student_t,0.311,1.147
2026-01-01,nyc,gfs,pm_3F,33.8,36.0,30.799999999999997,36.8,0.678188,1,0.103563,0.38833,265,student_t,0.311,1.147
2026-01-01,nyc,gfs,pm_5F,33.8,36.0,28.799999999999997,38.8,0.856222,1,0.020672,0.155226,265,student_t,0.311,1.147
2026-01-01,nyc,gfs,pm_10F,33.8,36.0,23.799999999999997,43.8,0.969986,1,0.000901,0.030473,265,student_t,0.311,1.147
2026-01-01,nyc,gfs,above_F,33.8,36.0,33.8,inf,0.454543,1,0.297524,0.788463,265,student_t,0.311,1.147
2026-01-01,nyc,gfs,below_F,33.8,36.0,-inf,33.8,0.545457,0,0.297524,0.788463,265,student_t,0.311,1.147
2026-01-01,nyc,gfs,above_F+5,33.8,36.0,38.8,inf,0.063444,0,0.004025,0.065546,265,student_t,0.311,1.147
2026-01-01,nyc,gfs,below_F-5,33.8,36.0,-inf,28.799999999999997,0.080335,0,0.006454,0.083745,265,student_t,0.311,1.147
2026-01-02,nyc,gfs,pm_1F,30.2,30.0,29.2,31.2,0.281217,1,0.516649,1.26863,266,student_t,0.3,1.16
2026-01-02,nyc,gfs,pm_2F,30.2,30.0,28.2,32.2,0.513706,1,0.236482,0.666105,266,student_t,0.3,1.16
2026-01-02,nyc,gfs,pm_3F,30.2,30.0,27.2,33.2,0.679764,1,0.102551,0.386009,266,student_t,0.3,1.16
2026-01-02,nyc,gfs,pm_5F,30.2,30.0,25.2,35.2,0.857948,1,0.020179,0.153211,266,student_t,0.3,1.16
2026-01-02,nyc,gfs,pm_10F,30.2,30.0,20.2,40.2,0.970953,1,0.000844,0.029477,266,student_t,0.3,1.16
2026-01-02,nyc,gfs,above_F,30.2,30.0,30.2,inf,0.456055,0,0.207986,0.608906,266,student_t,0.3,1.16
2026-01-02,nyc,gfs,below_F,30.2,30.0,-inf,30.2,0.543945,1,0.207986,0.608906,266,student_t,0.3,1.16
2026-01-02,nyc,gfs,above_F+5,30.2,30.0,35.2,inf,0.062883,0,0.003954,0.064947,266,student_t,0.3,1.16
2026-01-02,nyc,gfs,below_F-5,30.2,30.0,-inf,25.2,0.079168,0,0.006268,0.082478,266,student_t,0.3,1.16
2026-01-03,nyc,gfs,pm_1F,30.4,30.0,29.4,31.4,0.281012,1,0.516944,1.269358,267,student_t,0.301,1.153
2026-01-03,nyc,gfs,pm_2F,30.4,30.0,28.4,32.4,0.513284,1,0.236893,0.666927,267,student_t,0.301,1.153
2026-01-03,nyc,gfs,pm_3F,30.4,30.0,27.4,33.4,0.679166,1,0.102935,0.38689,267,student_t,0.301,1.153
2026-01-03,nyc,gfs,pm_5F,30.4,30.0,25.4,35.4,0.85725,1,0.020378,0.154026,267,student_t,0.301,1.153
2026-01-03,nyc,gfs,pm_10F,30.4,30.0,20.4,40.4,0.970551,1,0.000867,0.029891,267,student_t,0.301,1.153
2026-01-03,nyc,gfs,above_F,30.4,30.0,30.4,inf,0.455945,0,0.207885,0.608704,267,student_t,0.301,1.153
2026-01-03,nyc,gfs,below_F,30.4,30.0,-inf,30.4,0.544055,1,0.207885,0.608704,267,student_t,0.301,1.153
2026-01-03,nyc,gfs,above_F+5,30.4,30.0,35.4,inf,0.063204,0,0.003995,0.06529,267,student_t,0.301,1.153
2026-01-03,nyc,gfs,below_F-5,30.4,30.0,-inf,25.4,0.079546,0,0.006328,0.082888,267,student_t,0.301,1.153
2026-01-04,nyc,gfs,pm_1F,35.4,34.0,34.4,36.4,0.280749,0,0.07882,0.329545,268,student_t,0.304,1.146
2026-01-04,nyc,gfs,pm_2F,35.4,34.0,33.4,37.4,0.51276,1,0.237403,0.667948,268,student_t,0.304,1.146
2026-01-04,nyc,gfs,pm_3F,35.4,34.0,32.4,38.4,0.678442,1,0.1034,0.387956,268,student_t,0.304,1.146
2026-01-04,nyc,gfs,pm_5F,35.4,34.0,30.4,40.4,0.856425,1,0.020614,0.154989,268,student_t,0.304,1.146
2026-01-04,nyc,gfs,pm_10F,35.4,34.0,25.4,45.4,0.970078,1,0.000895,0.030378,268,student_t,0.304,1.146
